"","ensembl_gene_id","ensembl_peptide_id","ensembl_gene_id_version","external_gene_name","external_gene_source","hgnc_id","hgnc_symbol","zfin_id_id","zfin_id_symbol","mmusculus_homolog_ensembl_gene","mmusculus_homolog_associated_gene_name","mmusculus_homolog_orthology_type","mmusculus_homolog_perc_id","mmusculus_homolog_perc_id_r1","mmusculus_homolog_orthology_confidence"
"2867","ENSAPEG00000002034","ENSAPEP00000002977","ENSAPEG00000002034.1","ENSAPEG00000002034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2868","ENSAPEG00000002034","ENSAPEP00000002997","ENSAPEG00000002034.1","ENSAPEG00000002034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2869","ENSAPEG00000002034","ENSAPEP00000003033","ENSAPEG00000002034.1","ENSAPEG00000002034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2870","ENSAPEG00000002034","ENSAPEP00000003064","ENSAPEG00000002034.1","ENSAPEG00000002034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2871","ENSAPEG00000002035","ENSAPEP00000002831","ENSAPEG00000002035.1","tmem98","ZFIN",NA,NA,"ZDB-GENE-070112-1092","tmem98","ENSMUSG00000035413","Tmem98","ortholog_one2one",84.375,83.6283,0
"2872","ENSAPEG00000002036","ENSAPEP00000002856","ENSAPEG00000002036.1","rec8b","ZFIN",NA,NA,"ZDB-GENE-060421-4898","rec8b","ENSMUSG00000002324","Rec8","ortholog_one2one",34.2043,24.3655,0
"2873","ENSAPEG00000002037","ENSAPEP00000002857","ENSAPEG00000002037.1","idh3b","ZFIN",NA,NA,"ZDB-GENE-040625-174","idh3b","ENSMUSG00000027406","Idh3b","ortholog_one2one",76.4103,77.6042,0
"2874","ENSAPEG00000002038","ENSAPEP00000002878","ENSAPEG00000002038.1","camk2g2","ZFIN",NA,NA,"ZDB-GENE-070323-2","camk2g2",NA,NA,NA,NA,NA,NA
"2875","ENSAPEG00000002039","ENSAPEP00000002837","ENSAPEG00000002039.1","AEBP2","HGNC Symbol","HGNC:24051","AEBP2",NA,NA,"ENSMUSG00000030232","Aebp2","ortholog_one2many",62.4729,57.1429,1
"2876","ENSAPEG00000002040","ENSAPEP00000002811","ENSAPEG00000002040.1","recql","ZFIN",NA,NA,"ZDB-GENE-050809-134","recql","ENSMUSG00000030243","Recql","ortholog_one2one",41.0651,53.5494,1
"2877","ENSAPEG00000002040","ENSAPEP00000002827","ENSAPEG00000002040.1","recql","ZFIN",NA,NA,"ZDB-GENE-050809-134","recql","ENSMUSG00000030243","Recql","ortholog_one2one",41.0651,53.5494,1
"2878","ENSAPEG00000002041","ENSAPEP00000002874","ENSAPEG00000002041.1","si:dkey-191g9.5","ZFIN",NA,NA,"ZDB-GENE-090313-217","si:dkey-191g9.5",NA,NA,NA,NA,NA,NA
"2879","ENSAPEG00000002041","ENSAPEP00000002890","ENSAPEG00000002041.1","si:dkey-191g9.5","ZFIN",NA,NA,"ZDB-GENE-090313-217","si:dkey-191g9.5",NA,NA,NA,NA,NA,NA
"2880","ENSAPEG00000002041","ENSAPEP00000002905","ENSAPEG00000002041.1","si:dkey-191g9.5","ZFIN",NA,NA,"ZDB-GENE-090313-217","si:dkey-191g9.5",NA,NA,NA,NA,NA,NA
"2881","ENSAPEG00000002041","ENSAPEP00000002948","ENSAPEG00000002041.1","si:dkey-191g9.5","ZFIN",NA,NA,"ZDB-GENE-090313-217","si:dkey-191g9.5",NA,NA,NA,NA,NA,NA
"2882","ENSAPEG00000002042","ENSAPEP00000002833","ENSAPEG00000002042.1","snap47","ZFIN",NA,NA,"ZDB-GENE-060825-140","snap47","ENSMUSG00000009894","Snap47","ortholog_one2one",44.6009,46.0048,1
"2883","ENSAPEG00000002043","ENSAPEP00000002812","ENSAPEG00000002043.1","nfkbiab","ZFIN",NA,NA,"ZDB-GENE-030131-1819","nfkbiab",NA,NA,NA,NA,NA,NA
"2884","ENSAPEG00000002044","ENSAPEP00000002906","ENSAPEG00000002044.1","tlr18","ZFIN",NA,NA,"ZDB-GENE-040220-2","tlr18",NA,NA,NA,NA,NA,NA
"2885","ENSAPEG00000002044","ENSAPEP00000002910","ENSAPEG00000002044.1","tlr18","ZFIN",NA,NA,"ZDB-GENE-040220-2","tlr18",NA,NA,NA,NA,NA,NA
"2886","ENSAPEG00000002045","ENSAPEP00000002813","ENSAPEG00000002045.1","ccr9a","ZFIN",NA,NA,"ZDB-GENE-060130-125","ccr9a",NA,NA,NA,NA,NA,NA
"2887","ENSAPEG00000002045","ENSAPEP00000002818","ENSAPEG00000002045.1","ccr9a","ZFIN",NA,NA,"ZDB-GENE-060130-125","ccr9a",NA,NA,NA,NA,NA,NA
"2888","ENSAPEG00000002046","ENSAPEP00000002960","ENSAPEG00000002046.1","msh5","ZFIN",NA,NA,"ZDB-GENE-131127-632","msh5","ENSMUSG00000007035","Msh5","ortholog_one2one",53.0962,48.3794,0
"2889","ENSAPEG00000002046","ENSAPEP00000003014","ENSAPEG00000002046.1","msh5","ZFIN",NA,NA,"ZDB-GENE-131127-632","msh5","ENSMUSG00000007035","Msh5","ortholog_one2one",53.0962,48.3794,0
"2890","ENSAPEG00000002047","ENSAPEP00000002822","ENSAPEG00000002047.1","neurod4","ZFIN",NA,NA,"ZDB-GENE-030730-1","neurod4","ENSMUSG00000048015","Neurod4","ortholog_one2many",57.5385,56.6667,0
"2891","ENSAPEG00000002048","ENSAPEP00000002817","ENSAPEG00000002048.1","specc1la","ZFIN",NA,NA,"ZDB-GENE-060810-139","specc1la","ENSMUSG00000033444","Specc1l","ortholog_one2one",72.0826,70.7489,1
"2892","ENSAPEG00000002049","ENSAPEP00000002873","ENSAPEG00000002049.1","ltb4r2a","ZFIN",NA,NA,"ZDB-GENE-140106-272","ltb4r2a",NA,NA,NA,NA,NA,NA
"2893","ENSAPEG00000002049","ENSAPEP00000002879","ENSAPEG00000002049.1","ltb4r2a","ZFIN",NA,NA,"ZDB-GENE-140106-272","ltb4r2a",NA,NA,NA,NA,NA,NA
"2894","ENSAPEG00000002049","ENSAPEP00000002895","ENSAPEG00000002049.1","ltb4r2a","ZFIN",NA,NA,"ZDB-GENE-140106-272","ltb4r2a",NA,NA,NA,NA,NA,NA
"2895","ENSAPEG00000002050","ENSAPEP00000002872","ENSAPEG00000002050.1","plrg1","ZFIN",NA,NA,"ZDB-GENE-040426-2787","plrg1","ENSMUSG00000027998","Plrg1","ortholog_one2one",77.5828,77.5828,0
"2896","ENSAPEG00000002051","ENSAPEP00000002821","ENSAPEG00000002051.1","ppp1r2","ZFIN",NA,NA,"ZDB-GENE-040426-1814","ppp1r2","ENSMUSG00000047714","Ppp1r2","ortholog_one2one",54.2056,56.3107,0
"2897","ENSAPEG00000002052","ENSAPEP00000003043","ENSAPEG00000002052.1","slc1a7a","ZFIN",NA,NA,"ZDB-GENE-061009-24","slc1a7a","ENSMUSG00000008932","Slc1a7","ortholog_one2many",70.9622,72.5835,0
"2898","ENSAPEG00000002052","ENSAPEP00000003112","ENSAPEG00000002052.1","slc1a7a","ZFIN",NA,NA,"ZDB-GENE-061009-24","slc1a7a","ENSMUSG00000008932","Slc1a7","ortholog_one2many",70.9622,72.5835,0
"2899","ENSAPEG00000002052","ENSAPEP00000003153","ENSAPEG00000002052.1","slc1a7a","ZFIN",NA,NA,"ZDB-GENE-061009-24","slc1a7a","ENSMUSG00000008932","Slc1a7","ortholog_one2many",70.9622,72.5835,0
"2900","ENSAPEG00000002053","ENSAPEP00000002889","ENSAPEG00000002053.1","sec23a","ZFIN",NA,NA,"ZDB-GENE-040426-2823","sec23a",NA,NA,NA,NA,NA,NA
"2901","ENSAPEG00000002053","ENSAPEP00000002907","ENSAPEG00000002053.1","sec23a","ZFIN",NA,NA,"ZDB-GENE-040426-2823","sec23a",NA,NA,NA,NA,NA,NA
"2902","ENSAPEG00000002054","ENSAPEP00000002824","ENSAPEG00000002054.1","si:dkey-154p10.3","ZFIN",NA,NA,"ZDB-GENE-070912-380","si:dkey-154p10.3",NA,NA,NA,NA,NA,NA
"2903","ENSAPEG00000002055","ENSAPEP00000002861","ENSAPEG00000002055.1","INSM2","HGNC Symbol","HGNC:17539","INSM2",NA,NA,"ENSMUSG00000045440","Insm2","ortholog_one2one",45.4327,38.3367,1
"2904","ENSAPEG00000002056","ENSAPEP00000002828","ENSAPEG00000002056.1","ppargc1b","ZFIN",NA,NA,"ZDB-GENE-030616-43","ppargc1b","ENSMUSG00000033871","Ppargc1b","ortholog_one2one",30.3095,27.5728,0
"2905","ENSAPEG00000002057","ENSAPEP00000002867","ENSAPEG00000002057.1","fam20cb","ZFIN",NA,NA,"ZDB-GENE-050301-4","fam20cb",NA,NA,NA,NA,NA,NA
"2906","ENSAPEG00000002058","ENSAPEP00000002830","ENSAPEG00000002058.1","hnf4a","ZFIN",NA,NA,"ZDB-GENE-030131-1077","hnf4a","ENSMUSG00000017950","Hnf4a","ortholog_one2one",82.3789,78.903,1
"2907","ENSAPEG00000002058","ENSAPEP00000002848","ENSAPEG00000002058.1","hnf4a","ZFIN",NA,NA,"ZDB-GENE-030131-1077","hnf4a","ENSMUSG00000017950","Hnf4a","ortholog_one2one",82.3789,78.903,1
"2908","ENSAPEG00000002059","ENSAPEP00000002843","ENSAPEG00000002059.1","eif4ebp1","ZFIN",NA,NA,"ZDB-GENE-030131-2332","eif4ebp1","ENSMUSG00000031490","Eif4ebp1","ortholog_one2many",61.2069,60.6838,0
"2909","ENSAPEG00000002059","ENSAPEP00000002851","ENSAPEG00000002059.1","eif4ebp1","ZFIN",NA,NA,"ZDB-GENE-030131-2332","eif4ebp1","ENSMUSG00000031490","Eif4ebp1","ortholog_one2many",61.2069,60.6838,0
"2910","ENSAPEG00000002060","ENSAPEP00000002834","ENSAPEG00000002060.1","fgd4a","ZFIN",NA,NA,"ZDB-GENE-050420-347","fgd4a","ENSMUSG00000022788","Fgd4","ortholog_one2many",48.9168,56.0052,0
"2911","ENSAPEG00000002060","ENSAPEP00000002840","ENSAPEG00000002060.1","fgd4a","ZFIN",NA,NA,"ZDB-GENE-050420-347","fgd4a","ENSMUSG00000022788","Fgd4","ortholog_one2many",48.9168,56.0052,0
"2912","ENSAPEG00000002061","ENSAPEP00000002853","ENSAPEG00000002061.1","slc16a1a","ZFIN",NA,NA,"ZDB-GENE-110408-16","slc16a1a",NA,NA,NA,NA,NA,NA
"2913","ENSAPEG00000002062","ENSAPEP00000002838","ENSAPEG00000002062.1","adora2aa","ZFIN",NA,NA,"ZDB-GENE-080723-28","adora2aa","ENSMUSG00000020178","Adora2a","ortholog_one2many",52.3179,57.8049,1
"2914","ENSAPEG00000002063","ENSAPEP00000002870","ENSAPEG00000002063.1","ENSAPEG00000002063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2915","ENSAPEG00000002063","ENSAPEP00000002888","ENSAPEG00000002063.1","ENSAPEG00000002063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2916","ENSAPEG00000002064","ENSAPEP00000002850","ENSAPEG00000002064.1","opn4.1","ZFIN",NA,NA,"ZDB-GENE-030314-2","opn4.1",NA,NA,NA,NA,NA,NA
"2917","ENSAPEG00000002065","ENSAPEP00000002849","ENSAPEG00000002065.1","ENSAPEG00000002065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2918","ENSAPEG00000002066","ENSAPEP00000002880","ENSAPEG00000002066.1","c2cd2l","ZFIN",NA,NA,"ZDB-GENE-041019-1","c2cd2l","ENSMUSG00000032120","C2cd2l","ortholog_one2one",48.9177,48.017,0
"2919","ENSAPEG00000002067","ENSAPEP00000002876","ENSAPEG00000002067.1","nt5dc1","ZFIN",NA,NA,"ZDB-GENE-030131-8274","nt5dc1","ENSMUSG00000039480","Nt5dc1","ortholog_one2one",57.0806,56.1028,0
"2920","ENSAPEG00000002067","ENSAPEP00000002893","ENSAPEG00000002067.1","nt5dc1","ZFIN",NA,NA,"ZDB-GENE-030131-8274","nt5dc1","ENSMUSG00000039480","Nt5dc1","ortholog_one2one",57.0806,56.1028,0
"2921","ENSAPEG00000002068","ENSAPEP00000002858","ENSAPEG00000002068.1","ENSAPEG00000002068",NA,NA,NA,NA,NA,"ENSMUSG00000074591","Ankub1","ortholog_one2one",49.7436,17.8967,0
"2922","ENSAPEG00000002069","ENSAPEP00000002852","ENSAPEG00000002069.1","si:ch211-208g1.1","ZFIN",NA,NA,"ZDB-GENE-050419-135","si:ch211-208g1.1",NA,NA,NA,NA,NA,NA
"2923","ENSAPEG00000002070","ENSAPEP00000002836","ENSAPEG00000002070.1","ENSAPEG00000002070",NA,NA,NA,NA,NA,"ENSMUSG00000024826","Dpf2","ortholog_one2one",48.324,42.716,0
"2924","ENSAPEG00000002071","ENSAPEP00000002859","ENSAPEG00000002071.1","ENSAPEG00000002071",NA,NA,NA,NA,NA,"ENSMUSG00000020096","Tbata","ortholog_one2one",36.4706,23.6641,0
"2925","ENSAPEG00000002072","ENSAPEP00000002921","ENSAPEG00000002072.1","chrna2b","ZFIN",NA,NA,"ZDB-GENE-041001-99","chrna2b","ENSMUSG00000022041","Chrna2","ortholog_one2many",67.6749,69.9219,0
"2926","ENSAPEG00000002072","ENSAPEP00000002993","ENSAPEG00000002072.1","chrna2b","ZFIN",NA,NA,"ZDB-GENE-041001-99","chrna2b","ENSMUSG00000022041","Chrna2","ortholog_one2many",67.6749,69.9219,0
"2927","ENSAPEG00000002073","ENSAPEP00000002839","ENSAPEG00000002073.1","svilc","ZFIN",NA,NA,"ZDB-GENE-041008-237","svilc",NA,NA,NA,NA,NA,NA
"2928","ENSAPEG00000002074","ENSAPEP00000002842","ENSAPEG00000002074.1","birc5b","ZFIN",NA,NA,"ZDB-GENE-030826-2","birc5b","ENSMUSG00000039193","Nlrc4","ortholog_one2one",12.3288,1.73745,0
"2929","ENSAPEG00000002075","ENSAPEP00000002863","ENSAPEG00000002075.1","wnt9a","ZFIN",NA,NA,"ZDB-GENE-060825-97","wnt9a","ENSMUSG00000000126","Wnt9a","ortholog_one2one",74.5257,75.3425,1
"2930","ENSAPEG00000002076","ENSAPEP00000002892","ENSAPEG00000002076.1","ENSAPEG00000002076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2931","ENSAPEG00000002077","ENSAPEP00000002881","ENSAPEG00000002077.1","ZFYVE1","HGNC Symbol","HGNC:13180","ZFYVE1",NA,NA,"ENSMUSG00000042628","Zfyve1","ortholog_one2many",73.7914,74.6461,0
"2932","ENSAPEG00000002078","ENSAPEP00000002860","ENSAPEG00000002078.1","ENSAPEG00000002078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2933","ENSAPEG00000002079","ENSAPEP00000002877","ENSAPEG00000002079.1","bicd1a","ZFIN",NA,NA,"ZDB-GENE-081031-9","bicd1a","ENSMUSG00000003452","Bicd1","ortholog_one2many",62.3701,61.5385,0
"2934","ENSAPEG00000002080","ENSAPEP00000002897","ENSAPEG00000002080.1","znf385a","ZFIN",NA,NA,"ZDB-GENE-090313-255","znf385a","ENSMUSG00000000552","Zfp385a","ortholog_one2many",54.8975,62.4352,0
"2935","ENSAPEG00000002081","ENSAPEP00000002939","ENSAPEG00000002081.1","erbin","ZFIN",NA,NA,"ZDB-GENE-061103-403","erbin","ENSMUSG00000021709","Erbin","ortholog_one2one",56.4616,56.3448,1
"2936","ENSAPEG00000002081","ENSAPEP00000002980","ENSAPEG00000002081.1","erbin","ZFIN",NA,NA,"ZDB-GENE-061103-403","erbin","ENSMUSG00000021709","Erbin","ortholog_one2one",56.4616,56.3448,1
"2937","ENSAPEG00000002081","ENSAPEP00000003000","ENSAPEG00000002081.1","erbin","ZFIN",NA,NA,"ZDB-GENE-061103-403","erbin","ENSMUSG00000021709","Erbin","ortholog_one2one",56.4616,56.3448,1
"2938","ENSAPEG00000002081","ENSAPEP00000003031","ENSAPEG00000002081.1","erbin","ZFIN",NA,NA,"ZDB-GENE-061103-403","erbin","ENSMUSG00000021709","Erbin","ortholog_one2one",56.4616,56.3448,1
"2939","ENSAPEG00000002082","ENSAPEP00000002855","ENSAPEG00000002082.1","ENSAPEG00000002082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2940","ENSAPEG00000002083","ENSAPEP00000002866","ENSAPEG00000002083.1","ENSAPEG00000002083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2941","ENSAPEG00000002084","ENSAPEP00000002868","ENSAPEG00000002084.1","ENSAPEG00000002084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2942","ENSAPEG00000002085","ENSAPEP00000002875","ENSAPEG00000002085.1","r3hdml","ZFIN",NA,NA,"ZDB-GENE-090313-275","r3hdml","ENSMUSG00000078949","R3hdml","ortholog_one2one",51.004,50.1976,1
"2943","ENSAPEG00000002086","ENSAPEP00000002882","ENSAPEG00000002086.1","si:ch211-196f5.2","ZFIN",NA,NA,"ZDB-GENE-041014-306","si:ch211-196f5.2",NA,NA,NA,NA,NA,NA
"2944","ENSAPEG00000002087","ENSAPEP00000002871","ENSAPEG00000002087.1","ENSAPEG00000002087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2945","ENSAPEG00000002087","ENSAPEP00000002886","ENSAPEG00000002087.1","ENSAPEG00000002087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2946","ENSAPEG00000002087","ENSAPEP00000002900","ENSAPEG00000002087.1","ENSAPEG00000002087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2947","ENSAPEG00000002087","ENSAPEP00000002919","ENSAPEG00000002087.1","ENSAPEG00000002087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2948","ENSAPEG00000002088","ENSAPEP00000002899","ENSAPEG00000002088.1","upb1","ZFIN",NA,NA,"ZDB-GENE-030131-1380","upb1","ENSMUSG00000033427","Upb1","ortholog_one2one",72.2222,69.4657,1
"2949","ENSAPEG00000002089","ENSAPEP00000002885","ENSAPEG00000002089.1","wnt3a","ZFIN",NA,NA,"ZDB-GENE-001106-1","wnt3a","ENSMUSG00000009900","Wnt3a","ortholog_one2one",86.5269,82.1023,1
"2950","ENSAPEG00000002091","ENSAPEP00000002887","ENSAPEG00000002091.1","lingo2a","ZFIN",NA,NA,"ZDB-GENE-080327-19","lingo2a","ENSMUSG00000045083","Lingo2","ortholog_one2many",66.2338,67.3267,0
"2951","ENSAPEG00000002092","ENSAPEP00000002894","ENSAPEG00000002092.1","FOXL3","HGNC Symbol","HGNC:54201","FOXL3",NA,NA,"ENSMUSG00000094504","Foxl3","ortholog_one2one",55.2846,62.963,0
"2952","ENSAPEG00000002093","ENSAPEP00000002891","ENSAPEG00000002093.1","fitm2","ZFIN",NA,NA,"ZDB-GENE-050508-5","fitm2","ENSMUSG00000048486","Fitm2","ortholog_one2one",45,44.6565,1
"2953","ENSAPEG00000002094","ENSAPEP00000002922","ENSAPEG00000002094.1","rnf13","ZFIN",NA,NA,"ZDB-GENE-040426-772","rnf13","ENSMUSG00000036503","Rnf13","ortholog_one2one",72.7749,72.9659,1
"2954","ENSAPEG00000002094","ENSAPEP00000002934","ENSAPEG00000002094.1","rnf13","ZFIN",NA,NA,"ZDB-GENE-040426-772","rnf13","ENSMUSG00000036503","Rnf13","ortholog_one2one",72.7749,72.9659,1
"2955","ENSAPEG00000002094","ENSAPEP00000002940","ENSAPEG00000002094.1","rnf13","ZFIN",NA,NA,"ZDB-GENE-040426-772","rnf13","ENSMUSG00000036503","Rnf13","ortholog_one2one",72.7749,72.9659,1
"2956","ENSAPEG00000002095","ENSAPEP00000002911","ENSAPEG00000002095.1","cdyl","ZFIN",NA,NA,"ZDB-GENE-070912-561","cdyl","ENSMUSG00000059288","Cdyl","ortholog_one2one",58.75,55.4806,0
"2957","ENSAPEG00000002095","ENSAPEP00000002927","ENSAPEG00000002095.1","cdyl","ZFIN",NA,NA,"ZDB-GENE-070912-561","cdyl","ENSMUSG00000059288","Cdyl","ortholog_one2one",58.75,55.4806,0
"2958","ENSAPEG00000002097","ENSAPEP00000002896","ENSAPEG00000002097.1","ENSAPEG00000002097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2959","ENSAPEG00000002098","ENSAPEP00000002901","ENSAPEG00000002098.1","ptpra","ZFIN",NA,NA,"ZDB-GENE-020107-1","ptpra","ENSMUSG00000027303","Ptpra","ortholog_one2one",71.3464,74.7889,0
"2960","ENSAPEG00000002098","ENSAPEP00000002930","ENSAPEG00000002098.1","ptpra","ZFIN",NA,NA,"ZDB-GENE-020107-1","ptpra","ENSMUSG00000027303","Ptpra","ortholog_one2one",71.3464,74.7889,0
"2961","ENSAPEG00000002099","ENSAPEP00000002929","ENSAPEG00000002099.1","zgc:110789","ZFIN",NA,NA,"ZDB-GENE-050306-38","zgc:110789","ENSMUSG00000029847","Slc23a4","ortholog_one2many",65.1801,61.7886,0
"2962","ENSAPEG00000002100","ENSAPEP00000002916","ENSAPEG00000002100.1","ENSAPEG00000002100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2963","ENSAPEG00000002101","ENSAPEP00000002909","ENSAPEG00000002101.1","ARF1","HGNC Symbol","HGNC:652","ARF1",NA,NA,"ENSMUSG00000048076","Arf1","ortholog_one2one",79.5,87.8453,1
"2964","ENSAPEG00000002101","ENSAPEP00000002925","ENSAPEG00000002101.1","ARF1","HGNC Symbol","HGNC:652","ARF1",NA,NA,"ENSMUSG00000048076","Arf1","ortholog_one2one",79.5,87.8453,1
"2965","ENSAPEG00000002102","ENSAPEP00000002915","ENSAPEG00000002102.1","gdap1l1","ZFIN",NA,NA,"ZDB-GENE-080812-2","gdap1l1","ENSMUSG00000017943","Gdap1l1","ortholog_one2one",79.7814,78.9189,1
"2966","ENSAPEG00000002103","ENSAPEP00000002903","ENSAPEG00000002103.1","col10a1b","ZFIN",NA,NA,"ZDB-GENE-030131-7079","col10a1b",NA,NA,NA,NA,NA,NA
"2967","ENSAPEG00000002104","ENSAPEP00000002902","ENSAPEG00000002104.1","RHOV","HGNC Symbol","HGNC:18313","RHOV",NA,NA,NA,NA,NA,NA,NA,NA
"2968","ENSAPEG00000002105","ENSAPEP00000002942","ENSAPEG00000002105.1","acbd6","ZFIN",NA,NA,"ZDB-GENE-030131-2810","acbd6","ENSMUSG00000033701","Acbd6","ortholog_one2one",54.8495,58.156,1
"2969","ENSAPEG00000002106","ENSAPEP00000002904","ENSAPEG00000002106.1","tac3a","ZFIN",NA,NA,"ZDB-GENE-090313-253","tac3a","ENSMUSG00000025400","Tac2","ortholog_one2one",22.7642,24.1379,0
"2970","ENSAPEG00000002107","ENSAPEP00000002912","ENSAPEG00000002107.1","ENSAPEG00000002107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2971","ENSAPEG00000002108","ENSAPEP00000003091","ENSAPEG00000002108.1","ENSAPEG00000002108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2972","ENSAPEG00000002109","ENSAPEP00000002920","ENSAPEG00000002109.1","cxcl14","ZFIN",NA,NA,"ZDB-GENE-000619-1","cxcl14","ENSMUSG00000021508","Cxcl14","ortholog_one2one",36.3636,36.3636,0
"2973","ENSAPEG00000002110","ENSAPEP00000002954","ENSAPEG00000002110.1","gucd1","ZFIN",NA,NA,"ZDB-GENE-060929-872","gucd1","ENSMUSG00000033416","Gucd1","ortholog_one2one",67.3729,66.5272,1
"2974","ENSAPEG00000002110","ENSAPEP00000002981","ENSAPEG00000002110.1","gucd1","ZFIN",NA,NA,"ZDB-GENE-060929-872","gucd1","ENSMUSG00000033416","Gucd1","ortholog_one2one",67.3729,66.5272,1
"2975","ENSAPEG00000002111","ENSAPEP00000003015","ENSAPEG00000002111.1","ubn2a","ZFIN",NA,NA,"ZDB-GENE-070112-612","ubn2a","ENSMUSG00000038538","Ubn2","ortholog_one2many",37.6489,36.0182,0
"2976","ENSAPEG00000002111","ENSAPEP00000003027","ENSAPEG00000002111.1","ubn2a","ZFIN",NA,NA,"ZDB-GENE-070112-612","ubn2a","ENSMUSG00000038538","Ubn2","ortholog_one2many",37.6489,36.0182,0
"2977","ENSAPEG00000002111","ENSAPEP00000003036","ENSAPEG00000002111.1","ubn2a","ZFIN",NA,NA,"ZDB-GENE-070112-612","ubn2a","ENSMUSG00000038538","Ubn2","ortholog_one2many",37.6489,36.0182,0
"2978","ENSAPEG00000002111","ENSAPEP00000003051","ENSAPEG00000002111.1","ubn2a","ZFIN",NA,NA,"ZDB-GENE-070112-612","ubn2a","ENSMUSG00000038538","Ubn2","ortholog_one2many",37.6489,36.0182,0
"2979","ENSAPEG00000002112","ENSAPEP00000003073","ENSAPEG00000002112.1","ipo4","ZFIN",NA,NA,"ZDB-GENE-041014-307","ipo4","ENSMUSG00000002319","Ipo4","ortholog_one2one",43.3945,43.7153,0
"2980","ENSAPEG00000002112","ENSAPEP00000003111","ENSAPEG00000002112.1","ipo4","ZFIN",NA,NA,"ZDB-GENE-041014-307","ipo4","ENSMUSG00000002319","Ipo4","ortholog_one2one",43.3945,43.7153,0
"2981","ENSAPEG00000002113","ENSAPEP00000002990","ENSAPEG00000002113.1","PDE3A","HGNC Symbol","HGNC:8778","PDE3A",NA,NA,"ENSMUSG00000041741","Pde3a","ortholog_one2many",61.9588,52.6731,1
"2982","ENSAPEG00000002114","ENSAPEP00000002908","ENSAPEG00000002114.1","fgg","ZFIN",NA,NA,"ZDB-GENE-040426-1998","fgg","ENSMUSG00000033860","Fgg","ortholog_one2one",54.6296,53.2731,0
"2983","ENSAPEG00000002114","ENSAPEP00000002924","ENSAPEG00000002114.1","fgg","ZFIN",NA,NA,"ZDB-GENE-040426-1998","fgg","ENSMUSG00000033860","Fgg","ortholog_one2one",54.6296,53.2731,0
"2984","ENSAPEG00000002115","ENSAPEP00000002985","ENSAPEG00000002115.1","tom1l2","ZFIN",NA,NA,"ZDB-GENE-061013-3","tom1l2",NA,NA,NA,NA,NA,NA
"2985","ENSAPEG00000002115","ENSAPEP00000002998","ENSAPEG00000002115.1","tom1l2","ZFIN",NA,NA,"ZDB-GENE-061013-3","tom1l2",NA,NA,NA,NA,NA,NA
"2986","ENSAPEG00000002115","ENSAPEP00000003016","ENSAPEG00000002115.1","tom1l2","ZFIN",NA,NA,"ZDB-GENE-061013-3","tom1l2",NA,NA,NA,NA,NA,NA
"2987","ENSAPEG00000002116","ENSAPEP00000002952","ENSAPEG00000002116.1","fam131ba","ZFIN",NA,NA,"ZDB-GENE-060503-616","fam131ba","ENSMUSG00000029861","Fam131b","ortholog_one2many",34.764,45,0
"2988","ENSAPEG00000002116","ENSAPEP00000002972","ENSAPEG00000002116.1","fam131ba","ZFIN",NA,NA,"ZDB-GENE-060503-616","fam131ba","ENSMUSG00000029861","Fam131b","ortholog_one2many",34.764,45,0
"2989","ENSAPEG00000002116","ENSAPEP00000002986","ENSAPEG00000002116.1","fam131ba","ZFIN",NA,NA,"ZDB-GENE-060503-616","fam131ba","ENSMUSG00000029861","Fam131b","ortholog_one2many",34.764,45,0
"2990","ENSAPEG00000002117","ENSAPEP00000002913","ENSAPEG00000002117.1","CHAC1","HGNC Symbol","HGNC:28680","CHAC1",NA,NA,NA,NA,NA,NA,NA,NA
"2991","ENSAPEG00000002118","ENSAPEP00000002917","ENSAPEG00000002118.1","c1galt1a","ZFIN",NA,NA,"ZDB-GENE-061013-303","c1galt1a",NA,NA,NA,NA,NA,NA
"2992","ENSAPEG00000002119","ENSAPEP00000002926","ENSAPEG00000002119.1","ENSAPEG00000002119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
